링크 ID,시작노드 ID,종료노드 ID,시군구명,읍면동명,link_len_m,geometry_wkt,geometry,flower_score,flower_score_overlap_m,maple_score,maple_score_overlap_m,shelter_dist_m,shelter_score,관광지명,tour_dist_m,R,tour_score,streetfood_score
133624,150787.0,101212.0,종로구,충신동,11.677088296562523,"LINESTRING (200676.124867 552901.484149, 200677.978983 552913.027101)","LINESTRING (200676.124867 552901.484149, 200677.978983 552913.027101)",0.0,0.0,0.0,0.0,476.4833977326752,0.0,청계천,459.1355533310201,100,0.0,0
127586,129337.0,129340.0,종로구,신교동,12.57400036256584,"LINESTRING (197246.750895 553736.658153, 197239.242228 553734.107909, 197235.00311 553735.885139)","LINESTRING (197246.750895 553736.658153, 197239.242228 553734.107909, 197235.00311 553735.885139)",0.0,0.0,0.0,0.0,258.5463302154505,0.0,통인시장,285.32737684256483,200,0.5733631157871759,0
105313,150845.0,150846.0,종로구,충신동,14.909025444641587,"LINESTRING (200701.211601 552910.143331, 200711.900073 552912.36401, 200713.313126 552916.137739)","LINESTRING (200701.211601 552910.143331, 200711.900073 552912.36401, 200713.313126 552916.137739)",0.0,0.0,0.0,0.0,475.2260755952053,0.0,청계천,424.5776088631481,100,0.0,0
134231,157349.0,157351.0,종로구,수송동,56.265932916179,"LINESTRING (198241.064865 552551.918419, 198226.412043 552606.194871)","LINESTRING (198241.064865 552551.918419, 198226.412043 552606.194871)",0.0,0.0,0.0712514633125705,0.0,185.11510050225385,0.0,대한민국역사박물관,203.9015384540856,100,0.0,0
173359,134121.0,134141.0,종로구,재동,32.0760634857992,"LINESTRING (198681.64789 553309.998997, 198682.177158 553305.448383, 198684.561291 553300.231544, 198693.391354 553280.363202)","LINESTRING (198681.64789 553309.998997, 198682.177158 553305.448383, 198684.561291 553300.231544, 198693.391354 553280.363202)",0.0,0.0,0.7606281107759679,32.0760634857992,202.57269256250265,0.0,북촌 한옥마을,107.7988770747095,250,1.0,0
134235,136319.0,136320.0,종로구,연건동,32.3483444464421,"LINESTRING (199709.834614 553440.754844, 199710.276941 553460.066837, 199712.662302 553472.941427)","LINESTRING (199709.834614 553440.754844, 199710.276941 553460.066837, 199712.662302 553472.941427)",0.0,0.0,0.0,0.0,180.0444188790383,0.0,창경궁,154.3703642619163,300,1.0,0
173357,149801.0,196652.0,종로구,이화동,13.285867541566164,"LINESTRING (200724.87439 553039.224961, 200727.258619 553048.437215, 200730.61547 553046.883671)","LINESTRING (200724.87439 553039.224961, 200727.258619 553048.437215, 200730.61547 553046.883671)",0.0,0.0,0.0,0.0,589.7247290899318,0.0,청계천,446.752356689251,100,0.0,0
174166,155548.0,155650.0,종로구,창신동,84.21009521186247,"LINESTRING (201101.886028 553045.148843, 201097.823149 553041.263707, 201080.068937 553033.159218, 201091.733124 553002.749899, 201097.122209 552997.867117, 201116.113887 553000.644361)","LINESTRING (201101.886028 553045.148843, 201097.823149 553041.263707, 201080.068937 553033.159218, 201091.733124 553002.749899, 201097.122209 552997.867117, 201116.113887 553000.644361)",0.0,0.0,0.0,0.0,501.26701159730254,0.0,청계천,148.36497279165562,100,0.5163502720834439,0
179392,136228.0,136230.0,종로구,명륜3가,10.402056830808409,"LINESTRING (199692.00571 553813.566146, 199700.131975 553820.003188)","LINESTRING (199692.00571 553813.566146, 199700.131975 553820.003188)",0.0,0.0,0.0,0.0,238.6040279993053,0.0,국립어린이과학관,182.52878539341333,100,0.1747121460658667,0
126624,152593.0,167106.0,종로구,창신동,23.148863840784266,"LINESTRING (200994.857064 552773.213582, 201018.001342 552774.437261)","LINESTRING (200994.857064 552773.213582, 201018.001342 552774.437261)",0.0,0.0,0.0695167229637679,0.0,311.11731218019963,0.0,청계천,139.55034883428618,100,0.6044965116571381,0
211030,127554.0,135712.0,종로구,숭인동,12.356211181480212,"LINESTRING (201898.713194 552831.529081, 201897.208651 552843.848456)","LINESTRING (201898.713194 552831.529081, 201897.208651 552843.848456)",0.0,0.0,0.138362415194364,0.0,241.1909479229012,0.0,동묘 벼룩시장,395.2118064606364,100,0.0,0
173520,147560.0,129401.0,종로구,신교동,41.4085283758478,"LINESTRING (197163.03695 553796.065268, 197121.70124 553799.409163)","LINESTRING (197163.03695 553796.065268, 197121.70124 553799.409163)",0.0,0.0,0.2482108182728888,14.512246387289164,357.9045493810097,0.0,통인시장,374.5490245717853,200,0.1272548771410734,0
134848,134915.0,134916.0,종로구,관철동,61.67781972514422,"LINESTRING (198996.680178 552188.305769, 199008.157624 552127.704757)","LINESTRING (198996.680178 552188.305769, 199008.157624 552127.704757)",0.0,0.0,0.026445784250277,0.0,270.8872940872151,0.0,탑골공원,215.06339785280176,100,0.0,0
225843,153200.0,153201.0,종로구,내자동,39.96327907598168,"LINESTRING (197563.977189 552980.615923, 197544.190999 552983.729432, 197524.315793 552984.512256)","LINESTRING (197563.977189 552980.615923, 197544.190999 552983.729432, 197524.315793 552984.512256)",0.0,0.0,0.3893590138071288,18.858390964249708,37.150701300278406,0.628492986997216,통인시장,516.3993424751542,200,0.0,0
105228,192591.0,141044.0,종로구,충신동,24.958305511202084,"LINESTRING (200629.39321 552925.675959, 200641.230365 552923.790062, 200653.862628 552920.905347)","LINESTRING (200629.39321 552925.675959, 200641.230365 552923.790062, 200653.862628 552920.905347)",0.0,0.0,0.0,0.0,486.0139132551377,0.0,청계천,484.0953730498472,100,0.0,0
174011,93259.0,93260.0,종로구,관수동,16.47403635699042,"LINESTRING (199230.961272 552118.136132, 199230.167694 552134.562478)","LINESTRING (199230.961272 552118.136132, 199230.167694 552134.562478)",0.0,0.0,0.0,0.0,257.715449698971,0.0,탑골공원,371.9851877937812,100,0.0,0
105216,167420.0,87531.0,종로구,숭인동,79.70540059117084,"LINESTRING (202011.624579 553126.56307, 201976.902116 553157.187556, 201996.063876 553184.606306)","LINESTRING (202011.624579 553126.56307, 201976.902116 553157.187556, 201996.063876 553184.606306)",0.0,0.0,0.0,0.0,183.4726162222129,0.0,동묘 벼룩시장,671.7592115457754,100,0.0,0
214925,145872.0,146218.0,종로구,효제동,16.08154249127325,"LINESTRING (200386.13669 552484.593059, 200386.932505 552468.49978)","LINESTRING (200386.13669 552484.593059, 200386.932505 552468.49978)",0.0,0.0,0.0,0.0,126.82272453933328,0.0,전태일동상,298.1917700297729,100,0.0,0
126455,128243.0,128241.0,종로구,구기동,5.728490125953754,"LINESTRING (196370.294574 556394.956446, 196375.503145 556392.512407)","LINESTRING (196370.294574 556394.956446, 196375.503145 556392.512407)",0.0,0.0,0.0,0.0,1142.3687375816291,0.0,석파정 서울미술관,1374.5320556840431,100,0.0,0
156033,128183.0,128188.0,종로구,무악동,7.995349009703356,"LINESTRING (196255.18733 552950.359446, 196250.237726 552944.146325)","LINESTRING (196255.18733 552950.359446, 196250.237726 552944.146325)",0.0,0.0,0.0,0.0,956.43561399516,0.0,국립경찰박물관,590.0030982200298,100,0.0,0
215503,129448.0,129449.0,종로구,통인동,19.18028293275793,"LINESTRING (197338.96444 553460.821406, 197336.847187 553469.146228, 197326.423733 553467.59574)","LINESTRING (197338.96444 553460.821406, 197336.847187 553469.146228, 197326.423733 553467.59574)",0.6321395373122011,19.18028293275793,0.7507250936462911,24.056650212655555,91.59337795475734,0.0840662204524265,통인시장,8.33025456697819,200,1.0,0
26738,136888.0,136872.0,종로구,혜화동,16.106539501454222,"LINESTRING (200061.647014 554464.84219, 200060.410425 554480.824557)","LINESTRING (200061.647014 554464.84219, 200060.410425 554480.824557)",0.0,0.0,0.0,0.0,620.4124649883337,0.0,국립어린이과학관,893.0328144425355,100,0.0,0
215508,37676.0,37677.0,종로구,숭인동,17.59213610332532,"LINESTRING (201752.402152 552950.587526, 201734.911999 552949.141001)","LINESTRING (201752.402152 552950.587526, 201734.911999 552949.141001)",0.0,0.0,0.0,0.0,352.0058173847989,0.0,동묘 벼룩시장,364.181802742832,100,0.0,0
149138,93326.0,93324.0,종로구,예지동,60.996711238060094,"LINESTRING (199827.818043 552187.580995, 199824.107634 552188.912933, 199819.691684 552245.85005)","LINESTRING (199827.818043 552187.580995, 199824.107634 552188.912933, 199819.691684 552245.85005)",0.0,0.0,0.5105280254132328,37.67266613496617,341.69507672723114,0.0,광장시장,89.0353854331838,200,1.0,0
173862,135934.0,135884.0,종로구,명륜3가,5.131700278731525,"LINESTRING (199549.395762 554499.371694, 199548.071247 554504.366259)","LINESTRING (199549.395762 554499.371694, 199548.071247 554504.366259)",0.0,0.0,0.0,0.0,865.1392344945708,0.0,창덕궁,868.2812958802175,300,0.0,0
129164,155542.0,155543.0,종로구,창신동,31.74044075683529,"LINESTRING (201066.638233 553062.902396, 201077.062517 553056.577399, 201096.319847 553053.472242)","LINESTRING (201066.638233 553062.902396, 201077.062517 553056.577399, 201096.319847 553053.472242)",0.0,0.0,0.0,0.0,557.5031752507495,0.0,청계천,203.63967344564247,100,0.0,0
233205,136267.0,173908.0,종로구,명륜2가,29.21245392994294,"LINESTRING (199865.5663 553760.397973, 199878.992163 553771.27465, 199884.556811 553775.159173, 199886.588394 553779.931655)","LINESTRING (199865.5663 553760.397973, 199878.992163 553771.27465, 199884.556811 553775.159173, 199886.588394 553779.931655)",0.0,0.0,0.2261034894016508,0.0,66.01069564450282,0.3398930435549718,국립어린이과학관,183.73033956923024,100,0.1626966043076976,0
227625,159807.0,159695.0,종로구,창신동,20.661615932355502,"LINESTRING (201195.762566 552592.772909, 201215.107829 552600.100954)","LINESTRING (201195.762566 552592.772909, 201215.107829 552600.100954)",0.0,0.0,0.0,0.0,126.94196657449092,0.0,청계천,266.0225921563126,100,0.0,0
